easting;northing;lat;long;elev;time;name
595977.891186564;6740511.62826622;60.7884350326;-139.2370190285;2235.174072;2016-05-04T20:49:16Z;4
595959.035276116;6740485.60413373;60.788206039;-139.2373780254;2232.665039;2016-05-04T20:55:48Z;5
595944.488624799;6740461.47048587;60.787992971;-139.2376569752;2228.891602;2016-05-04T21:00:18Z;6
595928.959024668;6740437.2077691;60.787778981;-139.2379540298;2226.761719;2016-05-04T21:05:15Z;7
595911.726710246;6740411.56375955;60.7875530049;-139.2382830195;2226.123291;2016-05-04T21:08:25Z;8
595895.896762908;6740386.39647564;60.7873309683;-139.2385860253;2224.962891;2016-05-04T21:12:20Z;9
595876.848250402;6740361.37640435;60.7871110272;-139.2389480397;2226.123535;2016-05-04T21:15:00Z;10
595860.973640442;6740335.98392875;60.7868869789;-139.2392519675;2226.517822;2016-05-04T21:17:41Z;11
595843.558034574;6740311.00786672;60.7866670378;-139.2395839747;2226.213623;2016-05-04T21:21:36Z;12
595825.796140484;6740286.67642924;60.7864529639;-139.2399220169;2225.088623;2016-05-04T21:24:23Z;13
595808.875811867;6740261.6017555;60.786232017;-139.2402449716;2225.207031;2016-05-04T21:27:20Z;14
595794.383110655;6740237.25541534;60.7860170212;-139.2405229993;2225.056396;2016-05-04T21:29:49Z;15
595776.101289693;6740212.0229889;60.7857949845;-139.2408710159;2224.774658;2016-05-04T21:32:15Z;16
595762.109938821;6740187.35398638;60.7855769712;-139.2411399912;2226.300537;2016-05-04T21:34:48Z;17
595747.300405153;6740160.66430887;60.7853410207;-139.2414249759;2228.520508;2016-05-04T21:37:39Z;18
595727.976058548;6740135.62838645;60.7851209957;-139.2417920195;2231.65332;2016-05-04T21:40:27Z;19
595710.333280082;6740113.09410483;60.7849230152;-139.2421269603;2235.216797;2016-05-04T21:43:13Z;20
596023.439145965;6739957.9093241;60.7834550086;-139.2364560161;2187.340088;2016-05-04T22:11:03Z;21
596040.078311875;6739983.42577891;60.7836799789;-139.2361380067;2186.822021;2016-05-04T22:13:55Z;22
