X;Y;field3;Sdb;WP;DonjekDEM
595983.777;6740519.75;4;0.1;4.1;2249
595989.623;6740527.82;4;0.2;4.2;2256
595995.509;6740535.94;4;0.3;4.3;2256
595964.905;6740493.71;5;0.1;5.1;2249
595970.775;6740501.81;5;0.2;5.2;2249
595976.645;6740509.91;5;0.3;5.3;2249
595949.658;6740470.05;6;0.1;6.1;2243
595954.813;6740478.6;6;0.2;6.2;2243
595959.035;6740485.6;6;0.3;6.3;2247
595934.353;6740445.64;7;0.1;7.1;2243
595939.747;6740454.06;7;0.2;7.2;2243
595944.489;6740461.47;7;0.3;7.3;2243
595917.298;6740419.86;8;0.1;8.1;2244
595922.887;6740428.17;8;0.2;8.2;2238
595928.459;6740436.46;8;0.3;8.3;2238
595901.221;6740394.86;9;0.1;9.1;2240
595906.545;6740403.33;9;0.2;9.2;2244
595911.727;6740411.56;9;0.3;9.3;2244
595882.912;6740369.34;10;0.1;10.1;2240
595888.956;6740377.28;10;0.2;10.2;2240
595895.02;6740385.24;10;0.3;10.3;2240
595866.281;6740344.47;11;0.1;11.1;2247
595871.573;6740352.94;11;0.2;11.2;2247
595876.848;6740361.38;11;0.3;11.3;2247
595849.276;6740319.21;12;0.1;12.1;2241
595854.994;6740327.41;12;0.2;12.2;2247
595860.712;6740335.61;12;0.3;12.3;2247
595831.699;6740294.76;13;0.1;13.1;2244
595837.584;6740302.82;13;0.2;13.2;2244
595843.487;6740310.91;13;0.3;13.3;2241
595814.465;6740269.88;14;0.1;14.1;2241
595820.071;6740278.19;14;0.2;14.2;2241
595825.661;6740286.48;14;0.3;14.3;2244
595799.504;6740245.86;15;0.1;15.1;2243
595804.611;6740254.44;15;0.2;15.2;2241
595808.876;6740261.6;15;0.3;15.3;2241
595781.976;6740220.13;16;0.1;16.1;2244
595787.832;6740228.21;16;0.2;16.2;2244
595793.706;6740236.32;16;0.3;16.3;2244
595767.04;6740196.05;17;0.1;17.1;2243
595771.984;6740204.76;17;0.2;17.2;2244
595776.101;6740212.02;17;0.3;17.3;2244
595752.148;6740169.4;18;0.1;18.1;2247
595757.01;6740178.16;18;0.2;18.2;2247
595761.858;6740186.9;18;0.3;18.3;2243
595734.089;6740143.55;19;0.1;19.1;2246
595740.201;6740151.47;19;0.2;19.2;2246
595746.314;6740159.39;19;0.3;19.3;2246
595716.497;6740120.97;20;0.1;20.1;2252
595722.66;6740128.84;20;0.2;20.2;2246
595727.976;6740135.63;20;0.3;20.3;2246
596017.994;6739949.56;21;0.1;21.1;2199
596012.508;6739941.15;21;0.2;21.2;2199
596007.063;6739932.8;21;0.3;21.3;2199
596034.615;6739975.05;22;0.1;22.1;2202
596029.152;6739966.67;22;0.2;22.2;2202
596023.689;6739958.29;22;0.3;22.3;2199
596051.476;6739999.85;23;0.1;23.1;2199
596045.777;6739991.64;23;0.2;23.2;2199
596040.078;6739983.43;23;0.3;23.3;2199
596068.284;6740024.51;24;0.1;24.1;2204
596062.696;6740016.24;24;0.2;24.2;2204
596057.175;6740008.07;24;0.3;24.3;2204
596084.93;6740050.12;25;0.1;25.1;2205
596079.541;6740041.67;25;0.2;25.2;2206
596074.168;6740033.25;25;0.3;25.3;2204
596100.303;6740076.51;26;0.1;26.1;2205
596095.436;6740067.77;26;0.2;26.2;2205
596090.57;6740059.03;26;0.3;26.3;2205
596115.25;6740101.83;27;0.1;27.1;2207
596110.064;6740093.3;27;0.2;27.2;2207
596105.169;6740085.25;27;0.3;27.3;2207
596132.142;6740127.37;28;0.1;28.1;2206
596126.462;6740119.12;28;0.2;28.2;2204
596120.799;6740110.9;28;0.3;28.3;2204
596147.456;6740153;29;0.1;29.1;2206
596142.594;6740144.23;29;0.2;29.2;2206
596137.805;6740135.6;29;0.3;29.3;2206
596162.038;6740179.83;30;0.1;30.1;2206
596157.301;6740171.02;30;0.2;30.2;2208
596152.564;6740162.22;30;0.3;30.3;2208
596177.958;6740204.45;31;0.1;31.1;2207
596172.188;6740196.3;31;0.2;31.2;2206
596166.775;6740188.64;31;0.3;31.3;2206
596195.656;6740229.55;32;0.1;32.1;2207
596189.886;6740221.36;32;0.2;32.2;2207
596184.134;6740213.19;32;0.3;32.3;2207
596212.126;6740254.47;33;0.1;33.1;2203
596206.726;6740246.03;33;0.2;33.2;2203
596201.407;6740237.71;33;0.3;33.3;2203
596227.958;6740280.06;34;0.1;34.1;2203
596222.757;6740271.51;34;0.2;34.2;2203
596217.557;6740262.96;34;0.3;34.3;2203
596243.437;6740305.15;35;0.1;35.1;2202
596238.158;6740296.65;35;0.2;35.2;2203
596233.159;6740288.6;35;0.3;35.3;2203
596259.746;6740328.57;36;0.1;36.1;2206
596253.798;6740320.53;36;0.2;36.2;2206
596248.716;6740313.65;36;0.3;36.3;2202
596338.769;6740248.89;37;0.1;37.1;2191
596332.328;6740256.62;37;0.2;37.2;2191
596325.967;6740264.26;37;0.3;37.3;2191
596364.61;6740199.47;38;0.1;38.1;2182
596360.386;6740208.53;38;0.2;38.2;2179
596356.163;6740217.59;38;0.3;38.3;2189
596389.689;6740143.26;39;0.1;39.1;2184
596385.628;6740152.44;39;0.2;39.2;2184
596381.591;6740161.57;39;0.3;39.3;2182
596415.78;6740086.54;40;0.1;40.1;2178
596411.574;6740095.61;40;0.2;40.2;2178
596407.368;6740104.69;40;0.3;40.3;2178
596441.448;6740036.23;41;0.1;41.1;2169
596436.827;6740045.11;41;0.2;41.2;2177
596432.205;6740053.98;41;0.3;41.3;2177
596467.736;6739982.03;42;0.1;42.1;2167
596463.418;6739991.06;42;0.2;42.2;2167
596459.127;6740000.04;42;0.3;42.3;2169
596492.062;6739928.51;43;0.1;43.1;2161
596487.959;6739937.63;43;0.2;43.2;2161
596483.856;6739946.76;43;0.3;43.3;2161
596519.488;6739872.47;44;0.1;44.1;2156
596515.04;6739881.42;44;0.2;44.2;2158
596510.592;6739890.36;44;0.3;44.3;2158
596546.228;6739820.53;45;0.1;45.1;2151
596541.624;6739829.41;45;0.2;45.2;2151
596537.02;6739838.29;45;0.3;45.3;2151
596572.422;6739766.67;46;0.1;46.1;2142
596568.114;6739775.64;46;0.2;46.2;2142
596563.781;6739784.67;46;0.3;46.3;2142
596599.803;6739712.58;47;0.1;47.1;2147
596595.244;6739721.5;47;0.2;47.2;2141
596590.711;6739730.36;47;0.3;47.3;2141
596625.758;6739659.87;48;0.1;48.1;2148
596621.371;6739668.85;48;0.2;48.2;2148
596616.983;6739677.83;48;0.3;48.3;2148
596706.063;6739693.32;49;0.1;49.1;2135
596697.336;6739688.44;49;0.2;49.2;2135
596688.609;6739683.56;49;0.3;49.3;2135
596733.236;6739753.15;50;0.1;50.1;2127
596730.054;6739743.67;50;0.2;50.2;2127
596726.871;6739734.19;50;0.3;50.3;2127
596758.343;6739806.12;51;0.1;51.1;2128
596753.847;6739797.21;51;0.2;51.2;2127
596749.325;6739788.23;51;0.3;51.3;2127
596783.157;6739860.61;52;0.1;52.1;2126
596779.079;6739851.46;52;0.2;52.2;2126
596775.025;6739842.37;52;0.3;52.3;2126
596805.082;6739916.18;53;0.1;53.1;2123
596801.478;6739906.8;53;0.2;53.2;2123
596797.896;6739897.49;53;0.3;53.3;2129
596826.839;6739972.26;54;0.1;54.1;2122
596823.217;6739962.94;54;0.2;54.2;2122
596819.595;6739953.62;54;0.3;54.3;2122
596846.891;6740026.1;55;0.1;55.1;2116
596843.426;6740016.71;55;0.2;55.2;2116
596839.96;6740007.32;55;0.3;55.3;2120
596861.111;6740070.99;56;0.1;56.1;2117
596858.214;6740061.43;56;0.2;56.2;2117
596855.317;6740051.87;56;0.3;56.3;2117
596782.289;6740061.01;57;0.1;57.1;2130
596792.08;6740063.35;57;0.2;57.2;2130
596801.78;6740065.67;57;0.3;57.3;2123
596725.17;6740043.76;58;0.1;58.1;2140
596734.745;6740046.78;58;0.2;58.2;2140
596744.263;6740049.77;58;0.3;58.3;2140
596668.137;6740031.16;59;0.1;59.1;2144
596677.95;6740033.15;59;0.2;59.2;2144
596687.705;6740035.12;59;0.3;59.3;2137
596608.747;6740013.73;60;0.1;60.1;2151
596618.331;6740016.72;60;0.2;60.2;2151
596627.856;6740019.69;60;0.3;60.3;2151
596549.513;6740002.35;61;0.1;61.1;2159
596559.407;6740004.02;61;0.2;61.2;2159
596569.242;6740005.69;61;0.3;61.3;2157
596492.252;6739986.42;62;0.1;62.1;2162
596501.84;6739989.31;62;0.2;62.2;2162
596511.371;6739992.17;62;0.3;62.3;2162
596433.283;6739975.24;63;0.1;63.1;2172
596443.183;6739976.9;63;0.2;63.2;2167
596453.023;6739978.56;63;0.3;63.3;2167
596375.683;6739959.48;64;0.1;64.1;2171
596385.269;6739962.31;64;0.2;64.2;2175
596394.855;6739965.14;64;0.3;64.3;2175
596317.23;6739946.52;65;0.1;65.1;2179
596326.98;6739948.54;65;0.2;65.2;2179
596336.788;6739950.58;65;0.3;65.3;2179
596256.297;6739930.93;66;0.1;66.1;2184
596265.974;6739933.5;66;0.2;66.2;2184
596275.59;6739936.05;66;0.3;66.3;2184
596202.986;6739915.04;67;0.1;67.1;2183
596212.523;6739917.95;67;0.2;67.2;2183
596222.113;6739920.88;67;0.3;67.3;2183
596142.854;6739900.67;68;0.1;68.1;2194
596152.576;6739902.87;68;0.2;68.2;2194
596162.358;6739905.08;68;0.3;68.3;2191
596092.529;6739882.96;69;0.1;69.1;2194
596101.866;6739886.53;69;0.2;69.2;2194
596111.202;6739890.1;69;0.3;69.3;2194
596026.699;6739869.52;70;0.1;70.1;2217
596036.59;6739871.25;70;0.2;70.2;2217
596046.415;6739872.97;70;0.3;70.3;2203
595478.802;6740751.34;72;0.1;72.1;2309
595488.211;6740747.94;72;0.2;72.2;2306
595497.621;6740744.54;72;0.3;72.3;2306
595446.624;6740762.97;73;0.1;73.1;2312
595456.028;6740759.57;73;0.2;73.2;2309
595465.431;6740756.17;73;0.3;73.3;2309
595394.004;6740787.44;74;0.1;74.1;2320
595402.992;6740783.06;74;0.2;74.2;2315
595411.98;6740778.68;74;0.3;74.3;2315
595338.694;6740811.8;75;0.1;75.1;2326
595347.914;6740807.82;75;0.2;75.2;2326
595357.079;6740803.87;75;0.3;75.3;2326
595284.728;6740836.22;76;0.1;76.1;2328
595293.796;6740832.08;76;0.2;76.2;2328
595302.919;6740827.91;76;0.3;76.3;2328
595229.916;6740860.91;77;0.1;77.1;2340
595239.075;6740856.79;77;0.2;77.2;2340
595248.181;6740852.7;77;0.3;77.3;2336
595175.097;6740885.04;78;0.1;78.1;2346
595184.218;6740881.04;78;0.2;78.2;2346
595193.393;6740877.02;78;0.3;78.3;2345
595121.32;6740910.3;79;0.1;79.1;2352
595130.337;6740906.01;79;0.2;79.2;2352
595139.408;6740901.69;79;0.3;79.3;2352
595064.99;6740936.24;80;0.1;80.1;2360
595074.08;6740932.08;80;0.2;80.2;2360
595083.17;6740927.92;80;0.3;80.3;2358
595010.464;6740959.28;81;0.1;81.1;2365
595019.661;6740955.46;81;0.2;81.2;2365
595028.912;6740951.61;81;0.3;81.3;2365
594983.207;6740970.75;82;0.1;82.1;2371
594992.414;6740966.85;82;0.2;82.2;2371
595001.213;6740963.12;82;0.3;82.3;2367
594988.639;6740979.5;83;0.1;83.1;2371
594979.145;6740976.36;83;0.2;83.2;2371
594974;6740974.66;83;0.3;83.3;2371
595039.105;6741008.68;84;0.1;84.1;2367
595030.693;6741003.34;84;0.2;84.2;2367
595022.231;6740997.96;84;0.3;84.3;2367
595086.273;6741043.84;85;0.1;85.1;2369
595078.383;6741037.77;85;0.2;85.2;2364
595070.445;6741031.66;85;0.3;85.3;2364
595132.918;6741079.64;86;0.1;86.1;2362
595124.981;6741073.55;86;0.2;86.2;2362
595117.043;6741067.47;86;0.3;86.3;2369
595182.446;6741115.66;87;0.1;87.1;2367
595174.337;6741109.82;87;0.2;87.2;2367
595166.228;6741103.99;87;0.3;87.3;2367
595231.132;6741148.96;88;0.1;88.1;2367
595222.821;6741143.33;88;0.2;88.2;2367
595214.559;6741137.74;88;0.3;88.3;2367
595280.689;6741185.34;89;0.1;89.1;2368
595272.647;6741179.35;89;0.2;89.2;2369
595264.655;6741173.39;89;0.3;89.3;2369
595328.86;6741220.28;90;0.1;90.1;2367
595320.738;6741214.42;90;0.2;90.2;2367
595312.663;6741208.6;90;0.3;90.3;2369
595379.379;6741252.04;91;0.1;91.1;2379
595370.819;6741246.81;91;0.2;91.2;2379
595362.309;6741241.61;91;0.3;91.3;2379
595433.465;6741290.57;92;0.1;92.1;2385
595425.359;6741284.64;92;0.2;92.2;2385
595417.307;6741278.75;92;0.3;92.3;2375
595445.978;6741257.73;93;0.1;93.1;2374
595444.833;6741267.67;93;0.2;93.2;2374
595443.689;6741277.6;93;0.3;93.3;2374
595453.782;6741198.66;94;0.1;94.1;2363
595452.443;6741208.53;94;0.2;94.2;2364
595451.097;6741218.47;94;0.3;94.3;2364
595460.929;6741139.47;95;0.1;95.1;2350
595459.763;6741149.37;95;0.2;95.2;2350
595458.59;6741159.33;95;0.3;95.3;2350
595470.365;6741079.16;96;0.1;96.1;2344
595468.752;6741088.99;96;0.2;96.2;2345
595467.129;6741098.88;96;0.3;96.3;2345
595476.595;6741020.52;97;0.1;97.1;2346
595475.651;6741030.5;97;0.2;97.2;2346
595474.713;6741040.43;97;0.3;97.3;2344
595480.649;6740961.7;98;0.1;98.1;2341
595480.01;6740971.71;98;0.2;98.2;2341
595479.376;6740981.67;98;0.3;98.3;2345
595485.234;6740900.99;99;0.1;99.1;2323
595484.458;6740910.96;99;0.2;99.2;2323
595483.682;6740920.93;99;0.3;99.3;2328
595491.208;6740840.99;100;0.1;100.1;2313
595490.178;6740850.9;100;0.2;100.2;2313
595489.143;6740860.87;100;0.3;100.3;2313
595499.264;6740782.08;101;0.1;101.1;2309
595497.844;6740791.97;101;0.2;101.2;2309
595496.425;6740801.86;101;0.3;101.3;2308
595506.237;6740722.34;102;0.1;102.1;2306
595505.13;6740732.27;102;0.2;102.2;2306
595504.023;6740742.2;102;0.3;102.3;2306
595513.047;6740662.33;103;0.1;103.1;2300
