X,Y,Donjek_asp,northness,profilecur,tangential,Sx_G2_d200,Sx_G13_d20,Donjek_slo,DonjekDEM_,Sx_G4_d200
595983.77707245,6740519.75171773,154.29004,-0.16587,-0.00174,0.00405,-0.51000,-3.82000,10.60812,2249.00000,1.92000
595964.905334324,6740493.70574054,154.29004,-0.16587,-0.00174,0.00405,-0.51000,-3.82000,10.60812,2249.00000,1.92000
595949.657855247,6740470.04650688,143.13010,-0.12350,-0.00088,-0.00322,2.02000,0.00000,8.88066,2243.00000,4.47000
595934.353190079,6740445.63535941,143.13010,-0.12350,-0.00088,-0.00322,2.02000,0.00000,8.88066,2243.00000,4.47000
595917.298319413,6740419.85506594,129.68546,-0.12942,-0.00033,-0.00109,3.04000,-2.26000,10.80526,2244.00000,3.04000
595901.2209494,6740394.86114771,108.43495,-0.04939,-0.00126,-0.00179,7.05000,-2.43000,8.98488,2240.00000,7.05000
595882.911740869,6740369.34075137,108.43495,-0.04939,-0.00126,-0.00179,7.05000,-2.43000,8.98488,2240.00000,7.05000
595866.281067596,6740344.47350518,122.00539,-0.06207,0.00326,0.00332,1.01000,-6.71000,6.72553,2247.00000,0.64000
595849.276071336,6740319.20821541,135.00000,-0.09598,0.00046,0.00015,2.78000,-4.97000,7.80107,2241.00000,2.78000
595831.698992174,6740294.76255261,142.12502,-0.09598,0.00032,-0.00074,4.80000,-4.07000,6.10126,2244.00000,3.17000
595814.465109608,6740269.88468076,130.23636,-0.06836,0.00005,-0.00067,5.80000,-3.47000,6.07533,2241.00000,4.47000
595799.504155227,6740245.85827628,120.96376,-0.06836,-0.00003,-0.00287,10.27000,-2.72000,5.20577,2243.00000,7.90000
595781.975628561,6740220.1307055,94.89909,-0.00932,0.00105,0.00080,15.32000,-4.51000,6.26462,2244.00000,7.51000
595767.039824213,6740196.04616745,100.17551,-0.02171,0.00103,-0.00001,22.77000,-5.42000,7.05858,2243.00000,8.28000
595752.147970228,6740169.40056968,100.00798,-0.02171,-0.00010,-0.00031,26.13000,-5.42000,6.15792,2247.00000,14.39000
595734.088664681,6740143.54765721,83.36749,0.01548,-0.00116,-0.00129,30.45000,-5.32000,7.70422,2246.00000,22.59000
595716.49677326,6740120.96644145,79.69515,0.11285,-0.00270,-0.00167,31.99000,-6.16000,11.83955,2252.00000,27.48000
596017.99370052,6739949.55863733,59.47029,0.07117,-0.00682,-0.00398,30.07000,4.29000,8.05334,2199.00000,27.16000
596034.615202347,6739975.04800396,120.37913,-0.04988,-0.00243,-0.00127,26.74000,-1.74000,5.99683,2202.00000,18.77000
596051.475809454,6739999.85344772,135.00000,-0.04988,-0.00145,-0.00145,21.91000,-0.91000,4.04469,2199.00000,14.76000
596068.283936802,6740024.51335036,150.25513,-0.08706,0.00087,0.00057,16.96000,-1.81000,5.75474,2204.00000,4.76000
596084.92965491,6740050.12179401,137.12109,-0.08688,0.00242,0.00065,8.05000,-1.36000,6.80923,2205.00000,1.19000
596100.302535174,6740076.50723562,137.12109,-0.08688,0.00242,0.00065,8.05000,-1.36000,6.80923,2205.00000,1.19000
596115.250129961,6740101.83411877,135.00000,-0.06228,-0.00112,0.00072,2.28000,-1.36000,6.55482,2207.00000,1.28000
596132.142205357,6740127.37451127,129.80557,-0.06220,-0.00221,-0.00005,1.01000,-1.43000,5.57601,2206.00000,1.92000
596147.455778869,6740152.99608602,129.80557,-0.06220,-0.00221,-0.00005,1.01000,-1.43000,5.57601,2206.00000,1.92000
596162.037769759,6740179.83218128,111.03751,-0.01561,-0.00034,0.00075,0.51000,-1.43000,2.49230,2206.00000,2.56000
596177.957715203,6740204.4548684,49.08562,0.04055,0.00137,0.00195,1.52000,-4.29000,3.54948,2207.00000,5.75000
596195.655571715,6740229.5468786,49.08562,0.02806,0.00137,0.00195,1.52000,-4.29000,3.54948,2207.00000,5.75000
596212.126093524,6740254.47037346,68.19859,0.01249,0.00067,0.00016,4.04000,-4.07000,1.92769,2203.00000,5.15000
596227.958152489,6740280.05663654,161.56505,0.01249,-0.00235,0.00070,4.38000,-0.72000,3.95712,2203.00000,4.76000
596259.746307109,6740328.57281733,152.52557,-0.07782,0.00009,0.00178,2.53000,1.40000,5.03227,2206.00000,-0.40000
596338.768540361,6740248.8852877,117.03086,-0.07700,0.00061,-0.00084,5.05000,-3.65000,9.75401,2191.00000,6.38000
596364.609992155,6740199.47048645,80.90972,0.02469,-0.00147,-0.00014,7.05000,-5.00000,8.99178,2182.00000,8.27000
596389.689214261,6740143.26229965,87.51044,0.01857,0.00049,0.00157,3.04000,-4.85000,8.18785,2184.00000,3.97000
596415.780074984,6740086.53570336,95.44033,-0.01239,-0.00010,0.00135,3.04000,-5.71000,7.51078,2178.00000,5.75000
596441.448008226,6740036.22864551,109.98311,-0.04947,0.00014,0.00006,3.04000,-6.16000,8.32382,2169.00000,3.97000
596467.735872731,6739982.03161807,113.55226,-0.05266,-0.00034,0.00076,2.02000,-4.52000,7.57308,2167.00000,2.56000
596492.061644046,6739928.50813271,116.56505,-0.04969,0.00037,0.00087,2.02000,-5.32000,6.37937,2161.00000,3.84000
596519.487706093,6739872.46946898,115.82099,-0.04035,-0.00019,-0.00043,5.80000,-5.42000,6.14252,2156.00000,5.75000
596546.22817727,6739820.5324028,116.56505,-0.04969,0.00065,0.00141,9.29000,-4.29000,6.37937,2151.00000,5.15000
596572.421863523,6739766.66845829,124.50852,-0.06825,-0.00203,-0.00228,15.56000,-2.86000,6.91918,2142.00000,7.90000
596599.803451484,6739712.58341003,45.00000,0.08386,0.00061,0.00000,27.54000,-4.97000,8.04947,2147.00000,18.05000
596625.757950498,6739659.8664659,48.46823,0.09586,0.00037,0.00169,31.75000,-6.42000,8.31257,2148.00000,23.93000
596706.063165034,6739693.31621325,64.09349,0.05274,0.00072,-0.00300,22.77000,-5.71000,6.93280,2135.00000,9.06000
596733.236363339,6739753.14837197,75.96376,0.03099,-0.00302,-0.00085,14.38000,-2.86000,7.34194,2127.00000,8.28000
596758.342623054,6739806.12464283,105.01836,-0.02480,-0.00078,-0.00086,6.05000,-5.88000,7.55652,2128.00000,6.38000
596783.157323456,6739860.61092261,123.69006,-0.07432,0.00115,0.00027,4.72000,-5.71000,7.70016,2126.00000,5.11000
596805.081708315,6739916.17523948,98.13010,-0.02162,0.00084,0.00120,4.30000,-3.65000,8.79281,2123.00000,4.47000
596826.83857377,6739972.26280543,77.34744,0.03396,-0.00024,0.00127,6.05000,-1.97000,8.91902,2122.00000,7.64000
596846.891142511,6740026.10342986,100.30485,-0.02476,0.00057,-0.00058,6.05000,4.49000,7.95580,2116.00000,8.90000
596861.110686425,6740070.99369373,110.09523,-0.04644,0.00053,-0.00054,6.55000,5.32000,7.76893,2117.00000,9.45000
596782.288611461,6740061.00939192,118.30076,-0.10658,-0.00126,0.00213,6.05000,-4.76000,12.99087,2130.00000,5.15000
596725.169810093,6740043.76098683,124.59229,-0.12208,0.00278,0.00299,2.70000,-6.99000,12.41692,2140.00000,3.57000
596668.136896926,6740031.16449062,109.29005,-0.04337,-0.00075,-0.00212,5.05000,-6.32000,7.54407,2144.00000,7.01000
596608.746707248,6740013.73028803,98.84181,-0.02166,0.00075,0.00088,4.04000,-4.97000,8.09973,2151.00000,4.47000
596549.513314885,6740002.34582295,104.93142,-0.00932,-0.00088,0.00027,3.04000,-2.86000,5.54184,2159.00000,5.11000
596492.252438783,6739986.42468507,108.43495,-0.03724,-0.00053,0.00033,2.53000,-4.97000,6.76286,2162.00000,4.47000
596433.282648315,6739975.23912996,124.50852,-0.05266,0.00074,0.00111,0.51000,-5.20000,6.91918,2172.00000,4.47000
596375.682892111,6739959.48419311,122.90524,-0.06821,-0.00238,-0.00109,4.80000,-2.86000,7.21260,2171.00000,2.02000
596317.230081901,6739946.52303716,156.16125,-0.09913,0.00058,-0.00122,8.05000,0.00000,8.35744,2179.00000,2.78000
596256.2968931,6739930.93100008,150.42216,-0.11462,0.00331,0.00097,9.04000,-3.58000,7.57308,2184.00000,4.47000
596202.986498642,6739915.03743328,104.34933,-0.03405,0.00022,-0.00002,16.49000,-1.81000,7.89666,2183.00000,7.01000
596142.853524459,6739900.66880159,83.15723,0.00935,0.00232,0.00120,21.03000,-4.21000,4.49908,2194.00000,13.64000
596092.528831099,6739882.96246617,82.40536,0.01244,-0.00346,-0.00169,24.68000,0.00000,5.40294,2194.00000,19.12000
596026.698512871,6739869.52183239,55.30485,0.23129,-0.00275,0.00025,30.51000,-8.96000,23.97449,2217.00000,33.10000
595478.801923342,6740751.33751336,137.60257,-0.08994,0.00027,0.00014,1.01000,-2.81000,5.55895,2309.00000,3.20000
595446.623957815,6740762.9677925,130.76361,-0.07757,-0.00106,0.00169,1.01000,-2.78000,6.82307,2312.00000,1.28000
595394.004193531,6740787.44214639,138.36646,-0.11741,0.00150,-0.00030,1.01000,-5.04000,8.55990,2320.00000,3.84000
595338.694488748,6740811.79823284,142.76517,-0.07775,0.00014,-0.00076,1.27000,-2.86000,5.60432,2326.00000,3.20000
595284.727872981,6740836.22069937,127.87498,-0.06525,-0.00100,-0.00147,3.54000,-0.91000,6.10126,2328.00000,4.47000
595229.915571628,6740860.90742574,113.55226,-0.05266,0.00002,0.00018,5.55000,-3.17000,7.57308,2340.00000,4.04000
595175.096909044,6740885.03766633,111.50143,-0.04038,-0.00077,-0.00005,5.30000,-2.81000,6.32476,2346.00000,3.97000
595121.320458548,6740910.30295432,117.25533,-0.05277,0.00086,0.00264,5.55000,-3.62000,6.61699,2352.00000,3.17000
595064.989952153,6740936.23950361,135.00000,-0.08378,-0.00046,-0.00016,4.30000,-2.26000,6.80460,2360.00000,3.84000
595010.464212471,6740959.27964819,142.43141,-0.08083,0.00146,0.00184,5.30000,-2.26000,5.85281,2365.00000,4.76000
594983.207068561,6740970.75373522,147.09476,-0.10541,0.00162,0.00269,8.05000,-2.72000,7.21260,2371.00000,9.83000
594988.638968096,6740979.50328619,147.09476,-0.10541,0.00162,0.00269,8.05000,-2.72000,7.21260,2371.00000,9.83000
595039.105216155,6741008.68030213,106.18921,-0.04680,-0.00064,-0.00101,7.05000,-1.43000,5.76023,2367.00000,4.04000
595086.273172284,6741043.84223652,170.83765,-0.09641,-0.00160,0.00576,-0.25000,-3.17000,5.60432,2369.00000,0.79000
595132.918443813,6741079.64341667,133.21008,-0.09592,-0.00360,-0.00293,3.04000,-2.81000,8.05334,2362.00000,3.04000
595182.446215144,6741115.65902807,150.25513,-0.12978,0.00192,0.00133,-0.51000,-2.81000,8.59617,2367.00000,1.28000
595231.13225122,6741148.96013814,141.34019,-0.12343,0.00158,-0.00079,0.00000,3.82000,9.09464,2367.00000,1.92000
595280.689156486,6741185.34432653,154.53665,-0.12988,0.00322,0.00104,-1.27000,7.13000,8.27122,2368.00000,-0.40000
595328.860436694,6741220.27645941,225.00000,-0.06226,-0.00329,-0.00519,1.01000,7.13000,5.05115,2367.00000,1.28000
595379.379405605,6741252.04131315,202.24902,-0.13601,0.00141,0.00453,-4.30000,3.65000,8.45010,2379.00000,-3.97000
595433.465119477,6741290.56745598,167.38068,-0.13260,-0.00134,0.00446,-5.55000,11.64000,12.10967,2385.00000,-6.05000
595445.977769831,6741257.73019239,135.97102,-0.18143,0.00140,0.00354,2.02000,10.83000,14.61623,2374.00000,-1.28000
595453.781770528,6741198.65808119,145.53918,-0.15648,0.00248,0.00316,-5.05000,5.42000,10.94011,2363.00000,-3.84000
595460.928847729,6741139.47339643,163.30075,-0.18401,-0.00439,-0.00321,0.00000,2.86000,11.07592,2350.00000,1.92000
595470.364911375,6741079.16421899,116.56505,-0.03737,-0.00049,-0.00262,4.04000,1.97000,4.79318,2344.00000,4.04000
595476.594642773,6741020.51660349,99.16235,-0.04359,0.00277,0.00073,-2.02000,0.56000,5.60432,2346.00000,-1.28000
595480.648676324,6740961.69771949,144.92624,-0.14457,0.00527,0.00338,-3.79000,0.28000,10.17418,2341.00000,-4.36000
